"","j1","j2","j3","j4","j5","j6","j7","j8","j9","j10","j11","j12","j13","j14","j15","j16","j17","j18","j19","j20","j21","j22","j23","j24","j25","j26","j27","j28","j29","j30","j31","j32","j33","j34","j35","j36","j37","j38","j39","j40","j41","j42","j43","j44","j45","j46","j47","j48","j49","j50","j51","j52","j53","j54","j55","j56","j57","j58","j59","j60","j61","j62","j63","j64","j65","j66","j67","j68","j69","j70","j71","j72","j73","j74","j75","j76","j77","j78","j79","j80","j81","j82","j83","j84","j85","j86","j87","j88","j89","j90","j91","j92","j93","j94","j95","j96","j97","j98","j99","j100"
"u2841",7.91,9.17,5.34,8.16,-8.74,7.14,8.88,-8.25,5.87,6.21,7.72,6.12,-0.73,7.77,-5.83,-8.88,8.98,-9.32,-9.08,-9.13,7.77,8.59,5.29,8.25,6.02,5.24,7.82,7.96,-8.88,8.25,3.64,-0.73,8.25,5.34,-7.77,-9.76,7.04,5.78,8.06,7.23,8.45,9.08,6.75,5.87,8.45,-9.42,5.15,8.74,6.41,8.64,8.45,9.13,-8.79,6.17,8.25,6.89,5.73,5.73,8.2,6.46,8.64,3.59,7.28,8.25,4.81,-8.2,5.73,7.04,4.56,8.79,NA,NA,NA,NA,NA,NA,-9.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.57,-9.42,-9.27,7.62,7.77,8.2,6.6,7.33,9.17,8.88
"u15547",-3.2,-3.5,-9.56,-8.74,-6.36,-3.3,0.78,2.18,-8.4,-8.79,-7.04,-6.02,3.35,-4.61,3.64,-6.41,-4.13,-0.15,-1.84,-1.84,1.84,-1.21,-8.59,-5.19,-2.18,0.19,2.57,-5.78,1.07,-8.79,3.01,2.67,-9.22,-9.32,3.69,2.28,-9.32,-4.71,-2.38,-3.06,-8.06,1.26,-8.98,-9.22,0.1,-7.09,3.25,-2.18,4.03,3.01,-3.3,0.63,1.36,2.77,-5.97,-1.02,-1.21,NA,-8.4,-7.57,-8.88,3.4,-7.91,-8.01,2.67,2.43,-6.8,-3.59,3.2,-2.77,NA,1.07,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u15221",-1.7,1.21,1.55,2.77,5.58,3.06,2.72,-4.66,4.51,-3.06,2.33,3.93,0.05,2.38,-3.64,-7.72,0.97,2.04,1.94,4.42,1.17,0.1,-5.1,-3.25,3.35,3.3,-1.7,3.16,-0.29,1.36,3.54,6.17,-2.72,3.11,4.81,6.99,-1.94,1.65,3.83,-1.84,1.5,3.5,5.34,0.15,0.97,3.25,3.2,1.17,3.06,6.6,4.27,3.45,-7.77,2.18,1.84,4.47,-5.92,-8.06,-2.82,2.33,3.59,3.2,0.24,0.1,4.17,3.45,2.86,-3.64,1.02,2.43,-3.98,2.43,5.78,-0.63,1.65,3.4,2.86,2.82,2.86,4.71,7.09,3.93,4.42,2.33,-0.19,1.7,2.57,3.64,-3.4,-2.72,4.85,1.36,5.68,2.33,0.92,-1.31,1.55,1.89,-7.67,4.03
"u15573",-7.38,-8.93,-3.88,-7.23,-4.9,4.13,2.57,3.83,4.37,3.16,-4.9,-5.78,-5.83,2.52,-5.24,4.51,4.37,4.95,5.49,-0.49,3.4,-2.14,5.29,-3.11,-4.56,-5.44,-6.89,-0.24,-5.15,-3.59,-8.2,2.18,0.39,-1.21,-2.62,-7.52,-4.27,7.23,-2.43,-4.27,-1.65,-7.72,3.11,-0.58,-5,-6.75,-3.45,-7.28,-3.16,5.29,-7.67,-7.33,-5.68,6.6,3.54,-2.72,-1.75,-6.94,-3.93,4.61,7.77,-7.04,-7.72,-4.22,-8.01,-6.07,3.98,6.31,-7.14,3.11,-7.28,4.51,-4.47,1.75,3.79,3.25,3.93,5.97,-1.89,-8.11,-8.64,-2.52,6.36,-6.55,-3.64,-3.59,-0.97,4.08,-6.46,3.79,-6.41,3.45,3.83,4.76,3.93,2.62,1.26,-6.8,0.58,-7.96
"u21505",0.1,4.17,4.9,1.55,5.53,1.5,-3.79,1.94,3.59,4.81,-0.68,-0.97,-6.46,-0.34,-2.14,-2.04,-2.57,-0.15,2.43,3.16,1.5,4.37,-0.1,-2.14,3.98,2.38,6.84,-0.68,0.87,3.3,6.21,5.78,-2.62,-0.78,-1.36,5,-1.21,-4.27,0.44,0.83,3.93,4.9,3.01,0.53,3.93,-4.47,3.3,-3.16,-2.91,0.1,1.5,3.45,1.75,1.26,1.5,-1.41,-1.55,-3.59,-0.83,-4.13,6.36,3.2,-0.05,0.92,5.34,2.14,2.18,1.94,3.11,3.74,NA,NA,NA,NA,NA,NA,NA,NA,4.08,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u15994",0.83,-4.9,0.68,-7.18,0.34,-4.32,-6.17,6.12,-5.58,5.44,-4.85,-7.62,-6.65,-9.37,-6.07,-1.26,-7.43,-6.89,-3.64,-3.64,0.68,-8.45,-4.85,-7.86,-2.91,0.49,-1.89,-8.4,7.04,-8.16,-0.53,1.89,-7.48,-5.83,8.25,7.67,2.86,-1.84,-2.91,0.24,-8.16,0.49,-7.43,-7.04,-5.58,-0.53,-3.93,-7.82,-2.09,7.28,-8.16,-6.17,-0.49,0.15,2.09,7.72,-5.44,-9.22,-6.7,5.53,-2.04,-6.17,-5.53,-8.16,2.14,1.84,-9.81,-5.19,0.19,-6.12,-8.74,3.4,-8.01,-5.34,-6.17,-2.77,-8.01,-8.01,-8.01,-8.01,-0.73,-8.01,-5.1,-0.53,-8.16,-0.39,2.28,-3.01,-7.67,-8.5,1.41,-5.24,-0.63,1.5,0,-5.44,-7.82,-9.81,-7.62,-6.41
"u238",2.91,4.76,NA,NA,NA,NA,-9.47,3.69,NA,-2.38,NA,NA,-3.88,NA,-9.32,-9.76,-1.94,-0.1,-9.27,-7.04,3.3,3.06,-7.04,-1.17,NA,-4.22,-2.72,0.97,5.87,NA,3.83,-3.88,NA,NA,-5.83,2.33,NA,NA,NA,4.22,NA,NA,NA,NA,NA,NA,NA,-4.13,NA,2.82,NA,NA,NA,-0.87,NA,-1.21,NA,NA,NA,NA,NA,-3.83,NA,NA,-3.69,5.1,NA,-4.37,-2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.99,NA,-9.85,NA,NA,NA,-8.3,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u5809",-2.77,-6.31,2.23,NA,0.19,1.26,2.43,-5,NA,-5.49,-7.77,3.16,-5.44,4.85,-5.44,-5.39,-1.21,-4.13,1.02,4.81,2.38,-0.34,-4.42,NA,-5.49,0,3.01,3.74,1.41,NA,-5.05,7.14,-7.62,-2.43,-0.58,0,-8.54,-5.68,-2.33,1.5,-6.5,0.29,4.81,NA,-5.68,0.73,0.34,3.54,1.5,-0.34,-6.5,-7.52,7.14,3.11,-7.77,1.36,NA,NA,NA,-7.52,8.54,3.25,-2.67,NA,1.26,3.54,-1.75,1.6,-1.89,-4.95,NA,NA,NA,NA,NA,NA,NA,NA,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.32,-2.91,NA,NA,NA,NA
"u16636",-3.35,-5.92,-5.63,-3.01,1.7,-2.52,1.6,-0.53,1.65,-7.28,-3.88,2.09,-1.17,1.07,-3.5,0.53,-3.4,1.02,2.62,1.65,-2.09,-5.63,-6.46,-5.53,1.84,2.86,-5.1,-0.53,1.55,3.4,-1.36,-3.45,-7.28,-4.9,1.46,-1.8,-4.03,-3.4,-4.81,-6.12,-2.43,2.52,-5.34,-7.67,-5.49,3.64,-3.59,-3.35,2.38,1.94,-4.42,-6.75,1.17,-1.21,-2.57,-3.54,1.55,1.7,-2.57,3.74,-1.7,1.02,1.5,-3.25,-4.47,-3.01,-4.27,2.28,1.6,-5.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48,NA,NA,NA,NA,NA,2.48,NA,2.18,NA,NA,NA,NA,NA,NA,NA,NA
"u12843",-1.99,-6.89,2.09,-4.42,-4.9,2.43,-3.06,3.98,-1.46,0.68,3.06,2.28,-2.91,-5.44,-3.88,-0.63,-7.96,-1.7,-0.73,1.17,-6.94,-7.33,2.09,4.76,-7.09,-7.14,0.15,1.55,-6.02,2.09,-5.92,1.55,-1.6,-3.59,-5.39,2.14,-3.54,-0.97,-8.11,2.18,-6.26,-7.14,-3.11,-3.4,3.83,-5.78,1.12,-5.68,-5.78,-7.52,-6.5,-7.38,-7.52,-2.62,-2.14,-5.92,-3.25,0.15,-1.55,-3.59,1.46,1.7,0.24,-3.88,-7.23,5.05,-3.69,1.6,-1.31,-1.02,1.84,1.8,1.75,-1.17,1.75,1.75,1.65,-3.79,1.99,1.99,-5.58,2.82,-3.3,0.97,-5.24,2.38,4.13,2.43,-0.92,1.8,1.94,2.77,1.75,-1.41,2.67,2.04,-0.29,-6.31,0.24,-6.5
